연도,시도,65-69세,70-74세,75-79세,80-84세,85세이상,region,광역지자체,기초지자체,교육인원,행정구역,2025년07월_전체,2025년07월_남자,2025년07월_여자,2025년07월_65세이상전체,2025년07월_65세이상남자,2025년07월_65세이상여자,구분,Unnamed: 1,기관수,프로그램수,학습자수,교강사수,사무직원수
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,광주시,322.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,구리시,72.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,군포시,819.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,김포시,3683.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,남양주시,251.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,동두천시,180.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,부천시,4091.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,성남시,3014.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,수원시,9797.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,시흥시,1962.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,안산시,2389.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,안성시,3133.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,안양시,1324.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,양주시,325.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,양평군,687.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,여주시,1074.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,연천군,421.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,오산시,2517.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,용인시,1340.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,의왕시,600.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,의정부시,3220.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,이천시,744.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,파주시,633.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
2022.0,경기 Gyeonggi,108953.0,78302.0,65344.0,53678.0,37515.0,경기도,경기도,평택시,672.0,경기도  (4100000000),13715016.0,6889738.0,6825278.0,2366589.0,1073213.0,1293376.0,,,,,,,
